id,uuid,quality_grade,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
310908760,a9ff3158-7d22-458a-890e-046724e51a6c,research,false,2,"North Rose Hill, Kirkland, WA, USA",47.6862640051,-122.1756673604,68,,,,68,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
311072550,2786797e-641b-4980-bec9-692e7fe6fac2,research,false,2,"Lake Hills, Bellevue, WA, USA",47.5972444444,-122.1468555556,,,,,,,open,false,gps,gps,Bellevue City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
311356698,d480f7fe-cd8c-404c-92f1-0a0b883171c4,research,false,333,SeaTac,47.4275894165,-122.2931289673,4,,,,4,,open,false,,,Seatac City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
311543615,a73a9c89-3dd7-4a8e-a3be-b18baaf1413c,research,false,843,"Alaskan Way W, Seattle, WA, US",47.6320133333,-122.3773333333,9,,,,9,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
311557862,86c36be5-e1f0-454c-b75d-52d5c51b8dd3,research,false,843,"Elliott Bay Trail, Seattle, WA, US",47.625,-122.369995,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
311591077,369b7509-a1b2-49f7-bb6e-ed80ff7a4bb6,research,false,2,"Green Lake, Seattle, WA, USA",47.6760543997,-122.3338252,,,,,,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312046266,435be790-503d-4715-9052-46452c9af7e9,research,false,843,"Mercer St, Seattle, WA, US",47.624675,-122.3564383333,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312056399,9a61c885-0cbe-4380-9567-2d86fa4bd45c,research,false,,"Crown Hill, Seattle, WA, USA",47.6996625313,-122.370061815,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312080753,4c387ad9-aacd-413e-9d33-b8aeaba177db,research,false,843,"King County, US-WA, US",47.7118616667,-122.38005,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312080941,6949d040-6c49-4f63-a99d-9f51d07e6ea1,research,false,843,"King County, US-WA, US",47.7123033333,-122.3789966667,6,,,,6,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312226002,221eb640-6ba7-4158-99e3-b0d2bd9c67f4,research,false,2,"Interbay, Seattle, WA, USA",47.6646806138,-122.3975822702,149,,,,149,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312305862,86bfe9ec-0a98-422e-baec-7d737081cbae,research,false,3,"4th Ave S, Seattle, WA, US",47.5855783333,-122.329025,5,,,,5,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312558912,0f9b27f8-ca6f-4868-8b9a-fd1a42e9c093,research,false,333,Seattle,47.6685523987,-122.3927154541,32,,,,32,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
